Pair Address,Price (USD),FDV,Market Cap,Liquidity (USD),M5 Buys,M5 Sells,H1 Buys,H1 Sells,H6 Buys,H6 Sells,H24 Buys,H24 Sells,Volume M5,Volume H1,Volume H6,Volume H24
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.0008545,854540,854540,135104.28,152,112,1907,1704,13688,11346,47749,35308,37924.77,469364.68,4217072.06,12993261.67
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.0008602,860211,860211,135620.6,101,110,1885,1703,13646,11349,47767,35331,24290.6,462816.28,4203707.17,12996368.08
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.0008805,880546,880546,137264.71,97,97,1877,1690,13602,11320,47790,35354,21282.87,460738.48,4187514.61,12998940.71
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.0008794,879411,879411,137122.85,81,83,1856,1680,13566,11293,47801,35368,13349.41,450403.88,4171795.62,13000964.65
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.0009225,922488,922488,140569.61,103,104,1878,1701,13588,11314,47823,35389,17077.91,454132.38,4175524.12,13004693.15
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.0009599,959965,959965,143569.65,108,90,1881,1683,13543,11259,47875,35421,16714.78,450588.61,4117432.05,13013082.87
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.0009354,935432,935432,141890.39,110,91,1881,1686,13514,11236,47900,35445,18316.41,445041.86,4099710.76,13017257.13
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.0009888,988884,988884,145926.94,128,97,1887,1676,13477,11219,47931,35466,24082.12,447211.23,4094604.61,13025092.73
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.001044,1044363,1044363,149882.12,126,120,1888,1690,13454,11230,47960,35514,27521.19,442066.18,4093911.04,13034915.06
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.001063,1062992,1062992,151332.3,132,121,1899,1679,13438,11215,47995,35535,34653.96,442744.05,4095148.14,13046002.58
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.001017,1017056,1017056,148087.35,128,121,1900,1673,13431,11214,48024,35560,36449.24,445346.54,4097211.54,13053437.16
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.001067,1067126,1067126,151799.27,127,124,1884,1666,13429,11211,48052,35588,42624.85,435833.54,4095024.02,13065986
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.001058,1058618,1058618,151133.77,130,107,1884,1658,13403,11179,48082,35603,43233.39,431482.97,4097185.34,13077064.14
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.001101,1101336,1101336,154207.62,153,122,1907,1673,13426,11194,48105,35618,52103.58,440353.16,4106055.54,13085934.33
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.001117,1117827,1117827,155309.43,155,87,1836,1631,13382,11138,48174,35646,40015.5,415126.5,4085393.25,13092660.6
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.001191,1191056,1191056,160409.92,167,91,1781,1622,13356,11127,48213,35673,37760.48,394039.17,4083406.66,13099766.12
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.001178,1178195,1178195,159619.18,172,105,1777,1618,13350,11134,48248,35702,28617.43,386677.84,4080527.8,13103987.9
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.001207,1207468,1207468,161695.86,161,114,1762,1630,13351,11121,48279,35739,23302.36,380521.37,4069403.6,13110670.83
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.001165,1165406,1165406,158927.36,141,115,1744,1613,13337,11107,48309,35759,26042.45,373165.57,4063181.92,13118178.51
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.001153,1153842,1153842,158131.08,143,127,1762,1620,13349,11118,48355,35799,32889.48,377478.68,4068685.45,13132628.92
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.001200,1200036,1200036,161404.67,160,141,1779,1634,13366,11132,48372,35813,37830.23,382419.43,4073626.2,13137569.66
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.001126,1126691,1126691,156808.8,138,113,1751,1593,13345,11130,48417,35851,59354.47,403170.07,4097149.94,13170019.34
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.001065,1065232,1065232,152408.7,157,139,1779,1612,13362,11155,48465,35897,61663.02,406614.95,4093054.58,13179718.7
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.001026,1026386,1026386,149531.97,160,135,1795,1609,13391,11172,48515,35934,54292.47,408972.99,4094856.15,13186921.39
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.001188,1188373,1188373,160916.26,162,158,1795,1628,13392,11207,48547,35982,45686.36,428708.34,4115096.37,13209820.67
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.001199,1199624,1199624,161826.49,151,147,1761,1599,13366,11202,48564,35995,44312.14,424793.24,4107284.14,13214117.75
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.001198,1198410,1198410,161778.04,148,131,1749,1582,13384,11215,48610,36021,45310.27,427646.33,4110981.63,13224317.67
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.001198,1198026,1198026,161882.1,163,137,1741,1584,13410,11235,48659,36064,45078.53,424960.62,4113210.01,13230593.88
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.001225,1225620,1225620,163635.07,138,109,1724,1554,13385,11220,48673,36069,30514,422211.64,4102575.51,13234507.35
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.001216,1216157,1216157,162843.17,163,124,1760,1566,13414,11250,48725,36117,27128.45,424074.17,4104330.78,13241106.05
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.001322,1322141,1322141,169884.47,153,126,1772,1561,13414,11253,48756,36141,33895.04,433730.8,4105295.51,13257159.18
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.001284,1284325,1284325,167653.24,142,131,1781,1579,13415,11275,48786,36186,67254.01,467482.91,4137294.6,13295961.08
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.001320,1320939,1320939,170039.52,168,151,1796,1579,13438,11272,48841,36220,75752.52,475556.32,4140000.44,13310259.87
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.001293,1293555,1293555,168321.45,173,146,1808,1579,13432,11264,48875,36247,77897.51,472627.46,4136020.53,13315921.3
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.001337,1337638,1337638,171301.78,170,157,1824,1586,13423,11265,48906,36280,80722.01,477491.47,4137511.43,13323937.11
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.001375,1375816,1375816,173762.84,178,152,1846,1599,13399,11211,48944,36310,66805.44,485781.55,4110452.58,13333837.97
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.001333,1333387,1333387,171197.16,177,140,1877,1611,13380,11198,48987,36343,53985.32,508693.13,4115308.07,13359197.78
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.001380,1380549,1380549,174187.17,166,147,1889,1623,13346,11181,49021,36379,54037.9,511051.94,4097432.24,13365461.08
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.001404,1404628,1404628,175822.27,166,156,1904,1639,13338,11182,49055,36414,51480.55,511972.59,4091245.77,13370578.17
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.001453,1453367,1453367,179215.46,205,159,1947,1650,13383,11157,49131,36454,85367.31,551836.41,4107230.47,13417583.28
A3R8pxm228cUxXCRxAH1uDjwQZMiZKV3q6wxrUib9MQM,0.001365,1365756,1365756,173770.9,196,171,1979,1683,13340,11131,49198,36525,72370.86,555672.63,4087318.21,13434484.74
